goos: linux
goarch: amd64
pkg: cryptna-lab/common/attest
cpu: Intel(R) Core(TM) 7 240H
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    9823	    124722 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    8410	    122826 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    9835	    123874 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    8142	    124539 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    9823	    121712 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    9888	    121588 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    8391	    124553 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     831	   1206587 ns/op	  651386 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     954	   1218941 ns/op	  651393 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     951	   1212209 ns/op	  651390 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     945	   1228142 ns/op	  651394 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     938	   1220468 ns/op	  651387 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     951	   1217886 ns/op	  651391 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     950	   1200149 ns/op	  651388 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     826	   1234464 ns/op	  651390 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     946	   1220248 ns/op	  651391 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_500-2  	     967	   1210246 ns/op	  651389 B/op	   24018 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1594	    703836 ns/op	  678856 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1598	    711169 ns/op	  678853 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1669	    700264 ns/op	  678856 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1478	    723896 ns/op	  678861 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1603	    712151 ns/op	  678855 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1428	    712830 ns/op	  678859 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1580	    734945 ns/op	  678860 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1599	    705568 ns/op	  678858 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1648	    701704 ns/op	  678855 B/op	   12034 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_500-2   	    1575	    711649 ns/op	  678855 B/op	   12034 allocs/op
PASS
ok  	cryptna-lab/verifier	143.545s
